iter	Logloss
0	0.6813771993
1	0.6699365453
2	0.6587843483
3	0.6480978338
4	0.6376053433
5	0.6278429149
6	0.6183822968
7	0.6094889288
8	0.6005448572
9	0.5919830536
10	0.5840635179
11	0.5769429173
12	0.5699371874
13	0.5634350665
14	0.5566742755
15	0.5506636712
16	0.5449198903
17	0.5391919036
18	0.5334648751
19	0.5284184024
20	0.5236449694
21	0.5190740129
22	0.514154214
23	0.5096343581
24	0.5050536346
25	0.5011907259
26	0.4972416032
27	0.4932879335
28	0.4899425232
29	0.4867380311
30	0.4836343101
31	0.4806223772
32	0.4775584088
33	0.4747318578
34	0.4719769192
35	0.4693252287
36	0.4668884198
37	0.4645790697
38	0.4623693282
39	0.4602910996
40	0.4580420864
41	0.4560130205
42	0.4541875501
43	0.4524376629
44	0.4505624181
45	0.4489512206
46	0.4474115716
47	0.4457808182
48	0.444365264
49	0.4428642951
50	0.441565649
51	0.4402929126
52	0.4388792876
53	0.4377360194
54	0.4366391637
55	0.4355872336
56	0.4345770585
57	0.433419674
58	0.4324204622
59	0.4313719557
60	0.4305204271
61	0.4296432301
62	0.42885961
63	0.4278767234
64	0.4271566578
65	0.4263411392
66	0.4256787744
67	0.4247959681
68	0.4240138918
69	0.4232200479
70	0.4225969292
71	0.4220410451
72	0.4215270806
73	0.4209030926
74	0.4202632464
75	0.4197655703
76	0.4190497114
77	0.4186340213
78	0.417951143
79	0.417514457
80	0.4170955754
81	0.4165567245
82	0.4160381271
83	0.4157158205
84	0.4151623347
85	0.4148184221
86	0.4144361159
87	0.4140074271
88	0.4136081273
89	0.4133186997
90	0.4129928615
91	0.4127025059
92	0.4122783937
93	0.4120385714
94	0.4116939777
95	0.4114103738
96	0.4110207081
97	0.4107486677
98	0.410548489
99	0.4103711331
100	0.4102127267
101	0.4100282232
102	0.4097399321
103	0.4095172955
104	0.4092823555
105	0.4091534289
106	0.4089812226
107	0.4087035799
108	0.408563098
109	0.408340371
110	0.4081652711
111	0.4080645827
112	0.4077471828
113	0.4075563192
114	0.4073286975
115	0.407153636
116	0.4070568429
117	0.406956502
118	0.4067422592
119	0.4065107026
120	0.4063402205
121	0.406259411
122	0.4060193997
123	0.405810757
124	0.4056139184
125	0.405491237
126	0.4053788724
127	0.4052004442
128	0.4050720837
129	0.4049599067
130	0.4048309758
131	0.4046739134
132	0.4045688834
133	0.4044639686
134	0.4042774239
135	0.4042198073
136	0.4041191472
137	0.4040859308
138	0.4039945343
139	0.4039143661
140	0.4038480964
141	0.4037477059
142	0.4035923913
143	0.4034836407
144	0.4034499368
145	0.403368726
146	0.4032792118
147	0.40317817
148	0.403151282
149	0.4030289344
150	0.4029777652
151	0.4028874995
152	0.4028251682
153	0.4027702353
154	0.4026963129
155	0.4026672925
156	0.4026031354
157	0.4025640954
158	0.4024518688
159	0.4023815106
160	0.4023216484
161	0.4022373047
162	0.4021776841
163	0.4021114219
164	0.4020311867
165	0.4019710221
166	0.4018888742
167	0.4018446869
168	0.4018236973
169	0.401765508
170	0.4016915254
171	0.4016116269
172	0.4015321328
173	0.4014863973
174	0.4013962447
175	0.4013520566
176	0.4012966911
177	0.4012477849
178	0.4012109205
179	0.4012027453
180	0.4011122665
181	0.4010802364
182	0.4010286047
183	0.4010158056
184	0.4009713968
185	0.4009374783
186	0.4008902632
187	0.4008209075
188	0.4007815008
189	0.4007372112
190	0.400703698
191	0.4006780623
192	0.400600623
193	0.4005381249
194	0.4004867688
195	0.4004474909
196	0.4003895026
197	0.4003517989
198	0.4003147816
199	0.400285647
200	0.4002320825
201	0.4001811679
202	0.4001249728
203	0.4000864226
204	0.4000803612
205	0.400037825
206	0.4000158817
207	0.3999894981
208	0.399983086
209	0.3999746724
210	0.3999413461
211	0.3999057301
212	0.3998496092
213	0.3998223905
214	0.3997770757
215	0.3997699751
216	0.3997305654
217	0.3996894137
218	0.3996741883
219	0.3996459133
220	0.3996032015
221	0.3995747136
222	0.3995501193
223	0.3995171196
224	0.3994797304
225	0.3994625213
226	0.3994618414
227	0.3994412632
228	0.3994231689
229	0.3993883956
230	0.3993851949
231	0.3993546504
232	0.3993541272
233	0.3993318593
234	0.3992976879
235	0.3992944079
236	0.3992820635
237	0.3992706573
238	0.399250844
239	0.3992157372
240	0.3992079511
241	0.3991952143
242	0.3991799755
243	0.3991554824
244	0.3991336917
245	0.3991254674
246	0.3991251878
247	0.3991139277
248	0.399110594
249	0.3990816386
250	0.3990687715
251	0.3990512185
252	0.399031432
253	0.3990188334
254	0.3990029215
255	0.3989874561
256	0.3989758114
257	0.3989527932
258	0.3989424943
259	0.3989251315
260	0.3989066084
261	0.3988667555
262	0.3988514876
263	0.398821031
264	0.3988201228
265	0.3988071116
266	0.3987769505
267	0.3987740869
268	0.3987552212
269	0.3987533596
270	0.3987388824
271	0.398725071
272	0.398712321
273	0.3986957981
274	0.3986818566
275	0.3986741014
276	0.3986477531
277	0.398628707
278	0.3986113507
279	0.3985934499
280	0.3985829251
281	0.3985685003
282	0.3985393471
283	0.3985309564
284	0.3985191241
285	0.3985078568
286	0.3984959379
287	0.3984876903
288	0.3984696065
289	0.39845501
290	0.3984247089
291	0.3984246086
292	0.3984205923
293	0.3984099473
294	0.3983940685
295	0.3983670579
296	0.3983517468
297	0.3983486982
298	0.3983355682
299	0.3983289443
300	0.398308108
301	0.3982979455
302	0.3982943131
303	0.3982916013
304	0.3982805492
305	0.398256939
306	0.3982368949
307	0.3982110954
308	0.3981960835
309	0.3981912936
310	0.3981806381
311	0.3981568914
312	0.3981495328
313	0.3981265876
314	0.3981016894
315	0.3980850853
316	0.3980756379
317	0.398070074
318	0.3980664251
319	0.3980359637
320	0.398028443
321	0.3980180153
322	0.3980016055
323	0.3979922509
324	0.3979760163
325	0.3979685944
326	0.3979483928
327	0.3979369891
328	0.3979249829
329	0.397910361
330	0.3978955615
331	0.397873328
332	0.3978567703
333	0.3978494474
334	0.3978466564
335	0.3978314062
336	0.3978184345
337	0.3978092649
338	0.3977924975
339	0.3977784646
340	0.3977591089
341	0.3977396771
342	0.397739303
343	0.3977275773
344	0.3977125165
345	0.3976853083
346	0.3976814864
347	0.3976661131
348	0.3976661131
349	0.3976348058
350	0.3976135309
351	0.397604847
352	0.3975883842
353	0.397574975
354	0.3975645714
355	0.3975601079
356	0.3975601079
357	0.3975537893
358	0.3975391748
359	0.397535859
360	0.3975340606
361	0.3975130046
362	0.3975113025
363	0.3975019729
364	0.397490919
365	0.397475945
366	0.3974667462
367	0.397447502
368	0.3974302229
369	0.397420488
370	0.3974067398
371	0.3974039769
372	0.3973908526
373	0.3973743366
374	0.3973642638
375	0.3973491961
376	0.3973426055
377	0.3973360964
378	0.3973289399
379	0.3973136127
380	0.3973119895
381	0.3973043264
382	0.3972982178
383	0.3972875552
384	0.3972780667
385	0.3972753207
386	0.3972713495
387	0.3972638109
388	0.3972532983
389	0.3972431218
390	0.3972260541
391	0.3972246366
392	0.3972144122
393	0.3971973997
394	0.3971969824
395	0.3971871524
396	0.3971868855
397	0.3971816922
398	0.3971788251
399	0.3971481396
