iter	Passed	Remaining
0	14	5781
1	29	5871
2	42	5651
3	57	5741
4	70	5560
5	84	5556
6	99	5571
7	109	5378
8	123	5345
9	138	5420
10	151	5348
11	161	5217
12	171	5108
13	179	4950
14	193	4959
15	200	4820
16	209	4718
17	221	4697
18	234	4699
19	241	4591
20	248	4485
21	255	4389
22	269	4409
23	281	4406
24	295	4433
25	304	4375
26	319	4408
27	333	4435
28	340	4358
29	347	4279
30	354	4223
31	365	4202
32	378	4206
33	387	4172
34	397	4144
35	409	4137
36	421	4139
37	430	4099
38	438	4057
39	448	4038
40	460	4031
41	472	4025
42	479	3977
43	487	3940
44	496	3920
45	505	3888
46	512	3852
47	525	3851
48	533	3824
49	545	3821
50	552	3782
51	562	3761
52	574	3764
53	581	3727
54	591	3708
55	598	3674
56	605	3646
57	618	3648
58	626	3620
59	638	3617
60	645	3585
61	658	3588
62	664	3556
63	679	3567
64	686	3535
65	695	3521
66	702	3492
67	716	3498
68	729	3500
69	744	3508
70	754	3497
71	762	3471
72	770	3452
73	784	3455
74	797	3454
75	805	3433
76	818	3432
77	825	3405
78	836	3399
79	847	3391
80	855	3367
81	867	3365
82	880	3362
83	886	3335
84	898	3331
85	909	3322
86	921	3313
87	934	3311
88	947	3309
89	954	3288
90	962	3269
91	974	3262
92	988	3263
93	999	3252
94	1011	3246
95	1023	3239
96	1034	3232
97	1045	3220
98	1054	3206
99	1061	3185
100	1068	3162
101	1077	3147
102	1089	3140
103	1101	3135
104	1115	3134
105	1122	3113
106	1133	3105
107	1146	3099
108	1153	3080
109	1167	3076
110	1175	3060
111	1183	3042
112	1195	3035
113	1207	3028
114	1219	3021
115	1230	3012
116	1238	2996
117	1245	2977
118	1257	2970
119	1269	2962
120	1281	2955
121	1290	2941
122	1302	2934
123	1315	2927
124	1326	2918
125	1335	2905
126	1347	2897
127	1362	2895
128	1375	2888
129	1385	2878
130	1397	2870
131	1409	2862
132	1423	2856
133	1435	2849
134	1448	2843
135	1459	2833
136	1472	2826
137	1479	2809
138	1493	2803
139	1505	2795
140	1515	2783
141	1527	2775
142	1541	2770
143	1555	2764
144	1564	2751
145	1578	2745
146	1589	2735
147	1601	2726
148	1609	2711
149	1621	2702
150	1631	2690
151	1643	2682
152	1653	2670
153	1666	2662
154	1679	2654
155	1686	2638
156	1698	2629
157	1710	2619
158	1723	2612
159	1735	2603
160	1750	2598
161	1762	2589
162	1775	2580
163	1786	2570
164	1798	2560
165	1809	2551
166	1821	2541
167	1832	2530
168	1840	2516
169	1854	2508
170	1868	2501
171	1880	2492
172	1892	2483
173	1905	2474
174	1917	2465
175	1930	2456
176	1942	2447
177	1955	2439
178	1968	2430
179	1975	2414
180	1989	2407
181	2000	2396
182	2013	2387
183	2021	2372
184	2032	2362
185	2045	2353
186	2057	2343
187	2070	2335
188	2083	2325
189	2096	2316
190	2107	2305
191	2119	2296
192	2131	2286
193	2146	2279
194	2158	2269
195	2170	2258
196	2182	2248
197	2197	2242
198	2209	2231
199	2222	2222
200	2235	2213
201	2248	2204
202	2261	2194
203	2273	2184
204	2280	2169
205	2293	2159
206	2304	2149
207	2317	2138
208	2325	2124
209	2335	2113
210	2347	2102
211	2359	2091
212	2372	2083
213	2384	2072
214	2397	2063
215	2405	2049
216	2416	2038
217	2430	2029
218	2443	2019
219	2455	2009
220	2470	2001
221	2484	1991
222	2498	1982
223	2510	1972
224	2525	1963
225	2535	1952
226	2542	1937
227	2554	1927
228	2568	1917
229	2581	1908
230	2589	1894
231	2601	1883
232	2608	1869
233	2621	1859
234	2634	1849
235	2642	1836
236	2656	1826
237	2665	1814
238	2678	1804
239	2690	1793
240	2701	1782
241	2714	1772
242	2727	1761
243	2738	1750
244	2752	1741
245	2766	1731
246	2772	1717
247	2785	1707
248	2793	1693
249	2806	1683
250	2816	1671
251	2830	1662
252	2843	1652
253	2855	1641
254	2867	1630
255	2879	1619
256	2891	1608
257	2904	1598
258	2916	1587
259	2928	1577
260	2940	1565
261	2952	1555
262	2965	1544
263	2977	1533
264	2984	1520
265	2997	1509
266	3011	1499
267	3021	1488
268	3033	1477
269	3044	1465
270	3056	1454
271	3069	1444
272	3081	1433
273	3094	1422
274	3106	1411
275	3114	1399
276	3128	1389
277	3140	1378
278	3153	1367
279	3164	1356
280	3176	1345
281	3189	1334
282	3201	1323
283	3213	1312
284	3225	1301
285	3237	1290
286	3249	1279
287	3257	1266
288	3270	1256
289	3281	1244
290	3293	1233
291	3300	1220
292	3312	1209
293	3324	1198
294	3338	1188
295	3350	1177
296	3361	1165
297	3369	1153
298	3381	1142
299	3388	1129
300	3402	1118
301	3418	1109
302	3431	1098
303	3440	1086
304	3457	1076
305	3469	1065
306	3486	1056
307	3500	1045
308	3514	1035
309	3523	1022
310	3539	1012
311	3551	1001
312	3566	991
313	3579	980
314	3598	970
315	3612	960
316	3628	949
317	3640	938
318	3652	927
319	3666	916
320	3676	904
321	3691	894
322	3703	882
323	3715	871
324	3728	860
325	3741	849
326	3756	838
327	3771	827
328	3784	816
329	3797	805
330	3811	794
331	3825	783
332	3842	773
333	3858	762
334	3870	750
335	3883	739
336	3899	729
337	3916	718
338	3935	708
339	3948	696
340	3965	686
341	3982	675
342	3991	663
343	4004	651
344	4021	641
345	4039	630
346	4052	618
347	4068	607
348	4075	595
349	4093	584
350	4107	573
351	4123	562
352	4142	551
353	4154	539
354	4168	528
355	4184	517
356	4193	505
357	4211	494
358	4226	482
359	4237	470
360	4249	459
361	4264	447
362	4280	436
363	4296	424
364	4312	413
365	4327	401
366	4342	390
367	4355	378
368	4368	367
369	4385	355
370	4397	343
371	4411	332
372	4427	320
373	4441	308
374	4454	296
375	4467	285
376	4484	273
377	4502	262
378	4517	250
379	4535	238
380	4544	226
381	4560	214
382	4573	203
383	4589	191
384	4604	179
385	4616	167
386	4631	155
387	4644	143
388	4661	131
389	4678	119
390	4692	108
391	4701	95
392	4714	83
393	4729	72
394	4739	59
395	4754	48
396	4762	35
397	4776	24
398	4789	12
399	4803	0
